book_title,book_description
Master Your Mindpower,Stéphane and Shalee Schafeitel  Co-founders of Success Training Co.  come together in their debut book to share the very mindpower principles and strategies that have helped them to assist thousands of clients thrive through their Mindpower Coaching™ Methodology and Mental Toughness Training™. Designed to be a guide for any individual who is ready to take charge of their life and strengthen their inner resilience  Master Your Mindpower will assist you to maximize your clarity  mental toughness  and success. This book equips you with the necessary tools to be able to resolve mental and emotional barriers  increase mental and emotional resilience  and implement new strategies for success. Readers will walk away with an enhanced understanding of the power of their mind and how they can take full advantage of their mindpower to live an impactful and fulfilling life. This book will help you develop •Focus  How to get more of what you want.•Mental Clarity  How to align your Principles  Passion & Purpose.•Mental Toughness  Handle the ups and downs of life and business.•Emotional Resilience  Get through stress and overwhelm with ease.•Productivity Hacks  Outperform everyone around you with efficiency.•Mindset Reset Exercises  Proven techniques to create a Possibility Mindset. Mindpower is a tool we all can harness  but few actually do - in this timeless guide  Stephane & Shalee Schafeitel offer tactical and revolutionary advice that you can put into practice immediately.  -Cynthia Davis  Author & Co-founder of Radiant Blue Inc. Like a lifeline  this is the type of book you ll always want to have within reach. Master Your Mindpower is the ultimate guide to biohacking and owning your life.  -Mark Laisure  CEO of Vortex Immersion Media & Producer/Co-Host of The Life Changes Show The only thing standing between where you are now and the life you are longing for is your own mind. In their debut book  Shalee & Stéphane Schafeitel share their proven strategies that will unlock the chains that bind you. What a remarkable and captivating read! -Dianna Kokoszka  Author  Speaker & Former CEO of KW MAPS Coaching
My People  the Amish  The True Story of an Amish Father and Son,In My People  the Amish  Joe Keim paints a detailed picture of life behind the bonnets and buggies. More than a biography  this is an honest look at the heart-warming traditions that mingle with the deep-rooted legalism of the Amish community in Ashland  Ohio.Born  raised  and baptized in an Old Order Amish church  from childhood Joe Keim was taught that if he didn t follow the twenty-two-page ordinance letter that governed his community  there was no way he could get to heaven. What started as a path of rebellion led Joe and his wife Esther to a caring group of Englisher Christians who would love them like family and show them how to live out their new found faith in Jesus Christ. Nine months after their traditional Amish wedding  Joe and Esther left family and friends forever to live openly for Christ  and endured shunning and excommunication with bold faith. Since then  the Lord has brought many former Amish people to Joe and Esther for help. Because of their passion for the Amish people and with the support of fellow believers  they have brought biblical truth to thousands of Amish through the ministry they founded in 2000  Mission to Amish People (MAP).
Paradise Found,Sometimes we re lucky enough to get that second chance – in life and in love. That Second Chance Series are stand-alone stories of strong women who battle heartache and loss with a courage and determination to find new paths and true love. What ties them together? A common theme  belief in the beauty of that second chance.Paradise Found is Book Four of That Second Chance Series.How does one see truly--with the heart or with the eyes?Matt Brandon has it all--wealth  power  looks  and talent. Women want him; men want to be like him. When a freak ski accident strips him of one of life s most basic needs--his sight--he struggles to accept the possibility that his blindness may be permanent. Enter psychologist Sara Hamilton  a woman who has known her own share of grief and loss and may just be the one person who can help Matt redefine his new world. Sara is every woman s woman--she s not a toothpick or a Cosmo girl  has never been prom queen  or dated the blond-haired god with the big white teeth. She s honest and decent and real...and lives on the perimeter  applauding her patients  successes  nursing them through their failures  but never acknowledging or accepting what she lacks in her own life. She s loved and lost once and has been so emotionally scarred  she s not willing to risk those feelings again. Of course  she s never met a man like Matt Brandon. As Matt and Sara explore the delicate balance between  blind  trust and hope  they will discover that sometimes you have to lose everything to find what you are truly looking for...That Second Chance Series Book One  Pulling Home (Also prequel to A Family Affair  The Promise)Book Two  The Way They Were (Also prequel to A Family Affair  The Secret)Book Three  Simple Riches (Also prequel to A Family Affair  Winter)Book Four  Paradise FoundBook Five  Not Your Everyday HousewifeBook Six  The Butterfly Garden Sara  every man is not your ex-husband.  Thank God.  A woman could only take so many lying philanderers in her life and once was definitely more than enough. Of course  Jeff would remind her that psychologists shouldn t dissect their personal lives like case studies. Easy for him to say. He had a wife who loved him and a baby on the way. What did she have besides a hurt so deep she couldn t take a full breath? You d only be in California until I can get things squared away here. Then I ll be right out. A few weeks at the most.  His voice softened.  Nina s having another ultrasound today. The bleeding s stopped. Sara pushed past the queasiness in her belly.  I know how much you both want this baby.  The doctor thinks everything will be okay  but I can t leave until we know for sure. But Matt needs help now. His brother said he s getting worse every day and lately he won t let anybody near him.  Not even one of those little starlets of his?  If the tabloids were accurate  company  especially the female variety  was plentiful.Jeff frowned.  You shouldn t believe everything you read. He was right  of course. The remark was not something a psychologist should say even if she thought it.  I m sorry  that was unkind. I don t even know the man.  But she d read a lot about him. Matthew Brandon. Writer. Millionaire. Blind man.
Prayers,The Prayers book is several things. It is a guide to salvation for those who have not been born again. It teaches relationship with the Lord  verses just being good or religious. It also teaches on what to expect as a Christian  how to pray  drawing near to God  and how you can and should grow as a Christian.This is followed by prayers on many various topics which are written from the perspective that God is all powerful  that the scriptures are inerrant  and that the Word of God is alive and powerful. We believe that those who have faith in God and have been saved by the blood of Jesus can pray these prayers and expect to have what they have prayed for  whether it be forgiveness of sin  healing  deliverance from bondage  or any prayer that is in line with the truth of God’s word. Thousands of people have testified to the blessings they have received from this book. To date we have mailed out over 2 million copies  have had 280 000 copies downloaded from the internet  and have had over 500 000 hits on our mobile download site. You may visit us at christianword.org for more information on printed copies.
Pride and Precipitation (Chick Flick Clique Romantic Comedy Novella #1),PRIDE AND PRECIPITATION ~ PG-RATED FUNPride and Precipitation is #1 of the Chick Flick Clique romantic comedy series and it is just just 99 cents! Book #2 is Regally Blonde. PRIDE AND PRECIPITATION (Chick Flick Clique Romantic Comedy Novella #1)Breezy Jones is crazy about the weather  rain or shine  which makes her job as the local television station s meteorologist perfect. She s even hoping the new buyers of her Aspen Grove station will make some positive changes. That s before she meets the attractive new general manager  Noah Drake  who is determined to repackage everything--including Breezy s down-home delivery and casual  girl-next-door appearance that seems tooPollyanna for him. He replaces her with a high-powered diva weathercaster and makes Breezy her off-screen assistant. With a flood of angry emails from the community  plummeting ratings  and incessant demands from the diva  it doesn t take long for Noah to see which way the wind is blowing. Will the station survive the competitive clash between pride and precipitation? More importantly  can their blossoming attraction survive?This is a novella of about 170 pages. The paperback version will be available soon. NEW RELEASES  If you enjoyed this book  consider signing up for my new releases email list to learn when new books are released! Just visit my website at www.BooksByHeatherHorrocks.com. OTHER FEATURES  Full working Table of Contents. Professionally edited and formatted.OTHER BOOKS BY HEATHER HORROCKS  FUNNY MYSTERIES The Who-Dun-Him Inn series  Snowed InnThe Bad Mothers Club series  Murder is Misunderstood (formerly The Bad Mothers Club) ROMANTIC COMEDIES & SUSPENSE Bah  Humbug! (Christmas novella) Just 99-cents! Baby Mine  Old Money  No Sudden Moves The Chick Flick Clique Romantic Comedy series  Pride and Precipitation #1 (99-cent Novella) Regally Blonde #2 (2012) My Spare Lady #3 (2012/13) While You Were Stranded (2013) The LDS series  How to Stuff a Wild Zucchini  Old Maid of Honor  You Just Turned 8 (a baptism book) INSPIRATIONAL  Women & Men Who Knew the Mortal Messiah
Quieting The Mind,
Success  Why You Fail Where Others Succeed - 5 Life-Changing Personal Development Tips You Wish You Knew,Would you like to discover the 5 most powerful personal development tips that the successful people you are looking up to use everyday? Imagine if you could get ahead of the competition by implementing powerful little known concepts in your life. How much more do you think could you get in life in term of success and happiness? Obsessed with improvement  I ve been reading over 100 personal development books in the past three years and published articles on major personal development websites such as Lifehack  Pickthebrain or Tinybuddha. In this ebook I would like to share with you what I ve learned over the past few years and teach you the 5 critical concepts that I believe everyone should know in order to live a fulfilling life. Here s what you ll get from this book? You ll benefit from what I ve learned out of 100+ personal development books and hundreds of hours spent watching videos from experts ? You ll save yourself the hassle of looking for the right information among the millions of articles available out there? You ll learn about 5 powerful life-changing tips that I personally benefited from in my life and can start implementing them in your life right away too. Obviously  you wouldn t have read up to this point if you weren t interested in discovering these 5 life changings tip. Don t wait click the BUY button and download your copy today!
Take Me Home,Meet Ian Callaway and catch up with two popular Callaway siblings  Emma and Burke  in this charming and fun Callaway novella that will sweep you away to Ireland in a tale of romance and adventure!When Eleanor Callaway asks three of her grandchildren to make a trip to her childhood home in Ireland  they have no idea her plan for each of them will make this a life-changing trip. Emma  the spunky  never-say-quit  fire investigator is happily married but has been struggling to have a child. While many of her siblings are welcoming new babies  Emma is afraid that she may never be a mother  but a trip to the Emerald Isle shows her that family is not always about bloodlines. Burke Callaway saved his cousin s life in a fire  but now he s dealing with a possible career-ending injury. All he s ever wanted to be is a firefighter  to follow in the steps of the men who came before him. But this oldest son  for whom responsibility weighs heavy  now has a chance to discover a new and more free-spirited side of himself.Ian Callaway is a world-renowned scientist  but his high IQ has been isolating. This sexy  attractive genius meets his hero in Ireland—a mysterious professor who is about to send him off on an adventure that will both threaten and change his life forever.*TAKE ME HOME is a 25 000 word novella that can be read as a standalone or as part of the Callaway Series. Ian Callaway s complete romantic suspense adventure will start here and continue in the full-length novel CLOSER TO YOU. What the readers are saying... With every story Ms. Freethy blends wisdom  hope and courage with captivating novels of what a family was meant to be.  Isha –on TAKE ME HOME In TAKE ME HOME  Eleanor surprises three of her grandchildren  Ian  Emma and her husband and Burke and his wife  with a surprise trip to Ireland and has set up a special journey for each of them. Each journey was meaningful and touched my heart. Through the author s words  I could see the beauty of Ireland and the warmth of the family.  Heartwarming read. Special family moments are the center of this story. Love the Callaway s. Good read  worth the time spent.  Linda – on TAKE ME HOME  Sweet and poignant! Loved this book and can t wait until Ian s story! 5 Stars!  Pam – on TAKE ME HOMEAlso Available The CallawaysOn A Night Like This #1So This Is Love #2Falling For a Stranger #3Between Now and Forever #4Nobody But You #5 – (Novella)All A Heart Needs #6That Summer Night #7When Shadows Fall #8Somewhere Only We Know #9The Callaway CousinsIf I Didn t Know Better #1Tender Is The Night #2Take Me Home #3 (Novella) Closer To You #4Once You re Mine #5Can t Let Go #6Secrets We Keep #7Whisper Lake Spin-Off SeriesAlways With Me #1My Wildest Dream #2Can t Fight The Moonlight #3
The Book of Self Mastery Quotes  Timeless Wisdom about Knowing  Changing  and Mastering Yourself,With so much chaos in our outer world  it can be all too easy for us to neglect our inner world. But it is this inner world which holds the keys to our peace and flourishing. The great philosophers  psychologists  and spiritual teachers have all argued that happiness is found  not in building the perfect life  but in fortifying and mastering the vehicle through which we traverse it.The Book of Self Mastery Quotes is a thoughtfully curated collection of passages from the wisest thinkers in history on the discipline of mastering yourself.This collection contains many lifetimes worth of wisdom from brilliant teachers of the art of living  like Marcus Aurelius  Lao Tzu  Epictetus  The Buddha  Friedrich Nietzsche  Viktor Frankl  Abraham Maslow  and many more. It also features findings and insights from modern spiritual teachers  psychologists  and neuroscientists.In this book  you will Gain insights from Stoic philosopher Seneca on overcoming angerFind guidance from the Buddha on letting go of unhelpful attachmentsLearn from Robert Greene why continual discomfort is necessary for growthHear how Roman emperor Marcus Aurelius embraced challenges and changeReflect on living an authentic life with Steve JobsHear what Confucius believed constituted the superior beingFind direction on sculpting and overcoming yourself from Friedrich NietzscheLearn how to eliminate negative thoughts and bad moods from Dr. David BurnsAnd hear how to use difficulties in our lives as opportunities to grow from the Dalai LamaThis simple book of quotes can serve as a daily reminder to focus on mastering yourself before trying to master the world. By studying these teachings  you ll find tranquility  inspiration  and wisdom on a life well-lived.
The Four Agreements  A Practical Guide to Personal Freedom,• A New York Times bestseller for over a decade• Translated into 46 languages worldwideIn The Four Agreements  bestselling author don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom  The Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom  true happiness  and love. This book by don Miguel Ruiz  simple yet so powerful  has made a tremendous difference in how I think and act in every encounter.  — Oprah Winfrey Don Miguel Ruiz s book is a roadmap to enlightenment and freedom.  — Deepak Chopra  Author  The Seven Spiritual Laws of Success An inspiring book with many great lessons.  — Wayne Dyer  Author  Real Magic In the tradition of Castaneda  Ruiz distills essential Toltec wisdom  expressing with clarity and impeccability what it means for men and women to live as peaceful warriors in the modern world.  — Dan Millman  Author  Way of the Peaceful Warrior___________________________About the AuthorsDon Miguel Ruiz is the bestselling author of The Four Agreements  The Four Agreements Companion Book  The Mastery of Love  The Voice of Knowledge  The Circle of Fire  and The Fifth Agreement. The teachings of Ruiz are best known for transforming complex human issues into simple common sense — a talent that has earned him millions of fans and international acclaim. Janet Mills is the founder and president of Amber-Allen publishing. She is also the co-author  with don Miguel Ruiz  of six books in The Toltec Wisdom Series  creator of  The Four Agreements for a Better Life  online course  and editor of Deepak Chopra s bestselling title  The Seven Spiritual Laws of Success. Her life s mission is to publish books of enduring beauty  integrity  and wisdom  and to inspire others to fulfill their most cherished dreams.
The Way to God,If we confess our sins  he is faithful and just to forgive us our sins and to cleanse us from all unrighteousness – 1 John 1 9 There is life in Christ. Rich  joyous  wonderful life. It is true that the Lord disciplines those whom He loves and that we are often tempted by the world and our enemy  the devil. But if we know how to go beyond that temptation to cling to the cross of Jesus Christ and keep our eyes on our Lord  our reward both here on earth and in heaven will be 100 times better than what this world has to offer. This book is thorough. It brings to life the love of God  examines the state of the unsaved individual s soul  and analyzes what took place on the cross for our sins. The Way to God takes an honest look at our need to repent and follow Jesus  and gives hope for unending  joyous eternity in heaven.
Twelve Steps and Twelve Traditions,Bill W.  the co-founder of Alcoholics Anonymous  first penned these essays on A.A.’s Twelve Steps and Twelve Traditions for publication in the Grapevine  the Fellowship’s monthly magazine. The Twelve Steps focus on the program of recovery from alcoholism  and the Twelve Traditions deal with issues that affect the unity of the A.A. group and the worldwide Fellowship as a whole. This book clarifies each of the suggested Twelve Steps that constitute the A.A. way of life and each of the Traditions that deal with how groups function to carry the message of recovery of alcoholism to the still-suffering alcoholic. Originally published in 1952  this classic book is used by A.A. members and groups around the world. This is the only A.A.W.S.-authorized e-book version of Twelve Steps and Twelve Traditions.
Understanding and Healing Trauma (The Fluff-Free Guide),Did you have a difficult childhood? If so  you might be dealing with the distressing effects that trauma can have on your mind  body and behaviour.To help you develop a deeper understanding of trauma  The Wellness Society worked with a group of trauma survivors to produce the online guide Understanding and Healing Trauma. Following its popularity  we decided to convert it into this free eBook.In this comprehensive yet concise introductory guide  you ll discover 
Wanted By You (Love in the City Book 1),Carter was captivated by Ellyson Evans the moment he laid eyes on her  but she was the one girl who didn t beg for his attention.He wanted her.Ellyson vowed to never fall in love  because love can destroy you  but then she met Carter Jennings.She wanted him.Unwilling to risk their comfortable friendship  neither confessed their desires.Losing touch after college  a chance meeting reconnects them.They want each other.But love in the city is never quite that easy.
Weight Loss Motivation,Are You Struggling to Stick To Your Weight Loss Plan Over The Long Run? Do You Find Yourself Constantly  Falling off the Wagon ?Apply These 28 Simple  Yet Extremely Effective Hacks for Unstoppable Motivation Day-in  Day-out!* * *LIMITED TIME OFFER! FREE For a Limited Time! (Regular Price $5.99)* * *Dear friend My name is Megan Lacey  and I want to give you the gift of BULLETPROOF motivation that you can use everyday to stick to your weight loss journey; it s time to take things to the next level and not only make progress on your weight loss journey  but to enjoy it along the way!Discover How To Instantly Re-program Your Brain to Feel A Constant Surge of Motivation Day-in  Day-out!No more falling off and starting again  one more start is all you need!I m going to teach you how to pick up your motivation when it s feeling low by using my simple  yet extremely effective motivation hacks.Inside You ll Discover...How you can annihilate the power of temptation once and for all! - Hack #15How to reprogram your brain to automatically move toward healthy  productive habits and move away from negative  unhealthy ones - Hack #23*How to never lose desire for your goals and keep them in front of your eyes - Hack #16/b>*The simple method to enjoy your exercise time; working out is supposed to be fun! - Hack #14The one weekly habit that will make sticking to your diet astonishingly simple and effortless- #Hack 11*How to ensure you re always making consistent progress and never succumb to feeling overwhelmed by the journey in front of you - Hack #6*Much  much more!Hurry! For a limited time you can download  Weight Loss Motivation  28 Powerful Motivation Hacks  Secrets and Strategies for Bulletproof Motivation to Lose Weight!  for FREE as a limited time introductory offer!Scroll Up & Download Your Copy Right Now!
Why Doesn t God Speak to Me?,Eager hearts cry out  hoping for a single word to confirm that He hears us. Yet  many times the only sound is silence. Over the years I have heard several reasons why God speaks to some and not to others. One night  as I tossed and turned  I brought each of these reasons before the Lord  stating why each of them did not line up with who I thought He was. Words rose from my soul  pleading for Him to reveal why He has remained silent when a single word from Him would mean so much to so many. For the next few hours  God used things I learned about years ago and things I had just discovered to show why He talks to some and why He doesn t  and in demonstrative ways. In His grace  He also showed me how people could hear more from Him. Thank you for taking time to consider the answers I received and share with you now.
Winter s Secret,Some secrets chill to the bone....Smashed heirlooms  ripped upholstery and rifled drawers-who is breaking into homes during a record-breaking snowy winter  vandalizing and stealing. Whoever it is--is targeting the most vulnerable--the seniors of a small northwoods town. As the new sheriff  Rodd Durand  home again to small town Steadfast  Wisconsin  takes on the Snowmobile Burglar. In the course of her duties  Wendy Carey  the home health nurse  discovers each new break-in and wants more than anything to stop him. The small town reels as the burglar eludes capture and steps up his crimes. A vindictive woman and a secret baby heighten the suspense. When Wendy and Rodd begin to fall in love  family complicates matters. But the real stumbling block to their love lies within. Can they break through their own insecurities over the past?Welcome to Steadfast  Wisconsin  a small town whose people and mysteries you may never forget~
Work as Worship  How the CEOs of Interstate Batteries  Hobby Lobby  PepsiCo  Tyson Foods and more bring meaning to their work,The time has come for us to see a purpose for business that goes beyond money and that has a vision for this economy that goes even beyond this earth.Built around twelve themes  calling  leadership  character  success  money  stewardship  balance  disciplines  relationships  pluralism  ethics and giving  Our Souls at Work opens our collective eyes to the spiritual nature and mission of our daily work. Written by respected business leaders from well-known brands (Hobby Lobby  Interstate Batteries  PepsiCo  TOMS Shoes  etc.)  Work as Worship creates a space for ongoing community and conversation on these important issues.
Your True Power,Do you want to live your most exceptional life? This is for you.14 ordinary but remarkable women come together to share their stories - 100% raw and authentic - of how they overcame their biggest and darkest challenges by embracing their true power.In Your True Power  join one strong group of magnificent women as they share their first-hand experiences to help you understand what true power is. With richly vibrant voices from many backgrounds illustrating one and the same message  you will be inspired to unlock your amazing life!Here s what you ll experience when you dive into these powerful stories going from being an overwhelmed high achiever to moving into the state of flow;finding infinite possibilities after losing everything;going from treating your body as a burden to treating it as a guide;pivoting from seeking externally to looking within;going from  I m not enough  to  I am the answer ;finding freedom from codependency;going from  this is the end  to  the best is yet to come; And much  much more!Grab your copy now to go from ordinary to extraordinary and start living the life you were always meant to have!Full contributor list  Suyen Angbetic Bailey  Leslie Sandra Black  Debbie Shuman Espinoza  Heather Ann Fink  Fiorella Garibaldi  Dawn Gomez  Sandra Ann Grant  Aurora Hood Hammond  Judith Krug  Barbara Harumi Otis  Silvia Rios  Dionnie Simone  Trissa Tismal-Capili  Gale Ziccarelli.
